game_id,season,home_goals,away_goals
2000020001,2000,2,2
2000020002,2000,4,4
2000020003,2000,4,2
2000020004,2000,6,3
2000020005,2000,3,4
2000020006,2000,4,1
2000020007,2000,8,4
2000020008,2000,1,4
2000020009,2000,3,3
2000020010,2000,3,4
2000020011,2000,2,1
2000020012,2000,3,1
2000020013,2000,1,4
2000020014,2000,5,3
2000020015,2000,2,0
2000020016,2000,3,1
2000020017,2000,1,5
2000020018,2000,1,3
2000020019,2000,3,3
2000020020,2000,1,2
2000020021,2000,3,5
2000020022,2000,1,1
2000020023,2000,4,1
2000020024,2000,4,5
2000020025,2000,1,3
2000020026,2000,1,5
2000020027,2000,4,2
2000020028,2000,1,3
2000020029,2000,1,7
2000020030,2000,5,2
2000020031,2000,5,2
2000020032,2000,1,3
2000020033,2000,3,2
2000020034,2000,6,5
2000020035,2000,3,1
2000020036,2000,3,3
2000020037,2000,3,4
2000020038,2000,3,3
2000020039,2000,2,3
2000020040,2000,4,4
2000020041,2000,0,4
2000020042,2000,4,1
2000020043,2000,2,3
2000020044,2000,2,5
2000020045,2000,2,1
2000020046,2000,3,1
2000020047,2000,3,2
2000020048,2000,2,2
2000020049,2000,2,0
2000020050,2000,3,1
2000020051,2000,3,2
2000020052,2000,5,0
2000020053,2000,0,4
2000020054,2000,5,4
2000020055,2000,4,2
2000020056,2000,0,2
2000020057,2000,8,6
2000020058,2000,3,0
2000020059,2000,2,1
2000020060,2000,3,1
2000020061,2000,4,0
2000020062,2000,6,3
2000020063,2000,5,2
2000020064,2000,5,2
2000020065,2000,2,4
2000020066,2000,2,1
2000020067,2000,3,5
2000020068,2000,5,6
2000020069,2000,3,4
2000020070,2000,5,2
2000020071,2000,4,3
2000020072,2000,3,4
2000020073,2000,1,6
2000020074,2000,3,4
2000020075,2000,3,3
2000020076,2000,2,1
2000020077,2000,1,1
2000020078,2000,6,1
2000020079,2000,2,3
2000020080,2000,1,5
2000020081,2000,2,4
2000020082,2000,2,1
2000020083,2000,6,5
2000020084,2000,4,1
2000020085,2000,2,1
2000020086,2000,3,3
2000020087,2000,3,3
2000020088,2000,5,2
2000020089,2000,1,2
2000020090,2000,7,1
2000020091,2000,1,4
2000020092,2000,2,2
2000020093,2000,3,5
2000020094,2000,1,5
2000020095,2000,1,3
2000020096,2000,5,1
2000020097,2000,3,2
2000020098,2000,5,2
2000020099,2000,6,6
2000020100,2000,7,2
2000020101,2000,3,4
2000020102,2000,5,2
2000020103,2000,4,4
2000020104,2000,5,4
2000020105,2000,1,0
2000020106,2000,4,3
2000020107,2000,3,5
2000020108,2000,1,2
2000020109,2000,2,3
2000020110,2000,2,4
2000020111,2000,1,2
2000020112,2000,0,0
2000020113,2000,3,3
2000020114,2000,4,5
2000020115,2000,2,2
2000020116,2000,4,5
2000020117,2000,2,3
2000020118,2000,4,4
2000020119,2000,2,2
2000020120,2000,4,1
2000020121,2000,6,1
2000020122,2000,2,3
2000020123,2000,1,2
2000020124,2000,5,1
2000020125,2000,1,3
2000020126,2000,2,6
2000020127,2000,2,1
2000020128,2000,1,3
2000020129,2000,6,2
2000020130,2000,4,1
2000020131,2000,3,0
2000020132,2000,0,2
2000020133,2000,4,3
2000020134,2000,2,1
2000020135,2000,2,1
2000020136,2000,1,4
2000020137,2000,3,3
2000020138,2000,0,6
2000020139,2000,3,1
2000020140,2000,2,4
2000020141,2000,3,3
2000020142,2000,3,1
2000020143,2000,1,1
2000020144,2000,3,2
2000020145,2000,1,2
2000020146,2000,1,2
2000020147,2000,0,9
2000020148,2000,3,1
2000020149,2000,4,1
2000020150,2000,1,3
2000020151,2000,4,3
2000020152,2000,4,2
2000020153,2000,3,1
2000020154,2000,2,2
2000020155,2000,5,1
2000020156,2000,1,1
2000020157,2000,1,4
2000020158,2000,2,3
2000020159,2000,3,6
2000020160,2000,0,4
2000020161,2000,5,3
2000020162,2000,4,3
2000020163,2000,4,2
2000020164,2000,6,2
2000020165,2000,6,5
2000020166,2000,4,1
2000020167,2000,2,4
2000020168,2000,2,4
2000020169,2000,1,1
2000020170,2000,6,1
2000020171,2000,0,3
2000020172,2000,4,0
2000020173,2000,3,2
2000020174,2000,4,3
2000020175,2000,1,1
2000020176,2000,3,2
2000020177,2000,5,4
2000020178,2000,5,3
2000020179,2000,6,5
2000020180,2000,1,3
2000020181,2000,2,5
2000020182,2000,2,0
2000020183,2000,5,4
2000020184,2000,4,3
2000020185,2000,1,6
2000020186,2000,5,3
2000020187,2000,3,0
2000020188,2000,2,4
2000020189,2000,2,2
2000020190,2000,3,8
2000020191,2000,2,5
2000020192,2000,2,2
2000020193,2000,1,2
2000020194,2000,3,0
2000020195,2000,2,3
2000020196,2000,0,0
2000020197,2000,3,3
2000020198,2000,1,1
2000020199,2000,4,1
2000020200,2000,7,1
2000020201,2000,1,4
2000020202,2000,5,2
2000020203,2000,2,4
2000020204,2000,4,2
2000020205,2000,2,3
2000020206,2000,2,2
2000020207,2000,2,3
2000020208,2000,2,1
2000020209,2000,4,3
2000020210,2000,2,0
2000020211,2000,3,3
2000020212,2000,5,0
2000020213,2000,3,4
2000020214,2000,5,2
2000020215,2000,2,4
2000020216,2000,2,3
2000020217,2000,0,1
2000020218,2000,2,4
2000020219,2000,2,7
2000020220,2000,2,1
2000020221,2000,3,0
2000020222,2000,2,0
2000020223,2000,3,5
2000020224,2000,5,2
2000020225,2000,3,3
2000020226,2000,2,0
2000020227,2000,2,4
2000020228,2000,3,1
2000020229,2000,3,1
2000020230,2000,3,3
2000020231,2000,2,5
2000020232,2000,2,2
2000020233,2000,3,3
2000020234,2000,0,4
2000020235,2000,0,4
