name,player_id,team_id,role,height,weight,foot,nationality,birth_area,birthday,league
M_Özil,3319,1609,MD,180,76,left,Germany,Germany,1988/10/15,England
Nach_Monreal,3560,1609,DF,179,72,left,Spain,Spain,1986/02/26,England
L_Koscielny,7855,1609,DF,186,75,right,Poland,France,1985/09/10,England
A_Ramsey,7870,1609,MD,183,76,right,Wales,Wales,1990/12/26,England
P_Čech,7882,1609,GK,196,90,left,Czec_Republic,Czec_Republic,1982/05/20,England
D_Welbeck,7945,1609,FW,185,73,right,Ghana,England,1990/11/26,England
S_Kolašinac,14869,1609,DF,183,85,left,Bosnia-Herzegovina,Germany,1993/06/20,England
S_Lichtsteiner,20465,1609,DF,182,75,right,Switzerland,Switzerland,1984/01/16,England
S_Mustafi,20612,1609,DF,184,82,right,Albania,Germany,1992/04/17,England
A_Lacazette,25413,1609,FW,175,73,right,Guadeloupe,France,1991/05/28,England
P_Aubameyang,25867,1609,FW,187,80,right,Gabon,France,1989/06/18,England
G_Xhaka,49876,1609,MD,185,82,left,Albania,Switzerland,1992/09/27,England
H_Mkhitaryan,105338,1609,MD,177,75,right,Armenia,Armenia,1989/01/21,England
Mohame_Elneny,120339,1609,MD,180,70,right,Egypt,Egypt,1992/07/11,England
Bellerín,167145,1609,DF,178,74,right,Spain,Spain,1995/03/19,England
A_Iwobi,230020,1609,MD,180,75,right,England,Nigeria,1996/05/03,England
A_Maitland-Niles,279717,1609,MD,177,71,right,England,England,1997/08/29,England
L_Torreira,333571,1609,MD,168,64,right,Spain,Uruguay,1996/02/11,England
R_Holding,370224,1609,DF,189,75,right,England,England,1995/09/20,England
K_Mavropanos,413002,1609,DF,192,80,right,Greece,Greece,1997/12/11,England
Álvar_Morata,3324,1610,FW,189,85,right,Spain,Spain,1992/10/23,England
Fàbregas,3350,1610,MD,175,74,right,Spain,Spain,1987/05/04,England
Pedro,3360,1610,FW,167,62,right,Spain,Spain,1987/07/28,England
Arrizabalaga,3397,1610,GK,189,84,right,Spain,Spain,1994/10/03,England
W_Caballero,3551,1610,GK,186,80,right,Spain,Argentina,1981/09/28,England
G_Cahill,7887,1610,DF,193,86,right,England,England,1985/12/19,England
Davi_Luiz,7892,1610,DF,189,84,right,Portugal,Brazil,1987/04/22,England
Marco_Alonso,8032,1610,DF,188,81,left,Spain,Spain,1990/12/28,England
R_Barkley,8246,1610,MD,189,76,right,England,England,1993/12/05,England
D_Drinkwater,8495,1610,MD,177,70,right,England,England,1990/03/05,England
R_Green,8544,1610,GK,191,93,right,England,England,1980/01/18,England
V_Moses,8625,1610,MD,177,75,right,England,Nigeria,1990/12/12,England
A_Rüdiger,14748,1610,DF,191,85,right,Sierr_Leone,Germany,1993/03/03,England
D_Zappacosta,22889,1610,DF,182,70,right,Italy,Italy,1992/06/11,England
Azpilicueta,25553,1610,DF,178,75,right,Spain,Spain,1989/08/28,England
E_Hazard,25707,1610,FW,173,74,right,Belgium,Belgium,1991/01/07,England
O_Giroud,26010,1610,FW,192,88,left,France,France,1986/09/30,England
N_Kanté,31528,1610,MD,168,68,right,Mali,France,1991/03/29,England
Emerson,40787,1610,DF,176,63,left,Italy,Brazil,1994/08/03,England
M_Kovačić,69404,1610,MD,178,77,right,Croatia,Austria,1994/05/06,England
Willian,105333,1610,MD,175,75,right,Brazil,Brazil,1988/08/09,England
A_Christensen,135103,1610,DF,188,78,right,Denmark,Denmark,1996/04/10,England
R_Loftus-Cheek,235555,1610,MD,191,83,right,Jamaica,England,1996/01/23,England
E_Ampadu,423162,1610,DF,182,78,right,Wales,England,2000/09/14,England
A_Sánchez,3361,1611,FW,169,62,right,Chile,Chile,1988/12/19,England
Ande_Herrera,3413,1611,MD,182,73,right,Spain,Spain,1989/08/14,England
R_Lukaku,7905,1611,FW,190,94,left,Cong_DR,Belgium,1993/05/13,England
Jua_Mata,7906,1611,MD,170,63,left,Spain,Spain,1988/04/28,England
Davi_d_Gea,7910,1611,GK,193,82,right,Spain,Spain,1990/11/07,England
P_Jones,7918,1611,DF,185,71,right,England,England,1992/02/21,England
C_Smalling,7922,1611,DF,193,81,right,England,England,1989/11/22,England
J_Lingard,7934,1611,MD,174,65,right,England,England,1992/12/15,England
P_Pogba,7936,1611,MD,191,84,right,Guinea,France,1993/03/15,England
A_Valencia,7938,1611,DF,181,78,right,Ecuador,Ecuador,1985/08/04,England
A_Young,7939,1611,DF,175,65,right,Jamaica,England,1985/07/09,England
L_Shaw,8135,1611,DF,185,75,left,England,England,1995/07/12,England
M_Fellaini,8249,1611,MD,194,85,right,Morocco,Belgium,1987/11/22,England
L_Grant,8935,1611,GK,193,83,right,England,England,1983/01/27,England
S_Romero,20606,1611,GK,192,87,right,Italy,Argentina,1987/02/22,England
M_Darmian,21095,1611,DF,182,70,right,Italy,Italy,1989/12/02,England
Fred,40335,1611,MD,169,64,left,Brazil,Brazil,1993/03/05,England
N_Matić,70122,1611,MD,194,84,left,Slovakia,Serbia,1988/08/01,England
V_Lindelöf,71703,1611,DF,187,81,right,Sweden,Sweden,1994/07/17,England
M_Rojo,101652,1611,DF,187,80,left,Argentina,Argentina,1990/03/20,England
A_Martial,134513,1611,FW,184,76,right,Guadeloupe,France,1995/12/05,England
E_Bailly,256998,1611,DF,187,77,right,Côt_d'Ivoire,Côt_d'Ivoire,1994/04/12,England
S_McTominay,397174,1611,MD,193,88,right,England,England,1996/12/08,England
M_Rashford,397178,1611,FW,187,72,right,England,England,1997/10/31,England
G_Wijnaldum,116,1612,MD,175,74,right,Suriname,Netherlands,1990/11/11,England
V_va_Dijk,370,1612,DF,193,92,right,Netherlands,Netherlands,1991/07/08,England
Albert_Moreno,4908,1612,DF,171,65,left,Spain,Spain,1992/07/05,England
A_Oxlade-Chamberlain,7868,1612,MD,175,70,right,Jamaica,England,1993/08/15,England
D_Sturridge,7907,1612,FW,180,76,left,Jamaica,England,1989/09/01,England
J_Henderson,7964,1612,MD,182,67,right,England,England,1990/06/17,England
A_Lallana,8140,1612,MD,172,73,right,England,England,1988/05/10,England
J_Milner,8319,1612,MD,176,70,right,England,England,1986/01/04,England
N_Clyne,8392,1612,DF,175,67,right,Grenada,England,1991/04/05,England
