away,home,total
37,37,74
38,37,75
35,41,76
29,36,65
34,39,73
35,30,65
40,29,69
37,26,63
40,27,67
36,44,80
42,41,83
37,33,70
42,38,80
35,38,73
30,36,66
33,19,52
36,32,68
31,34,65
35,36,71
31,39,70
28,37,65
30,29,59
41,51,92
33,36,69
39,27,66
39,32,71
46,46,92
39,33,72
40,39,79
37,32,69
36,35,71
27,32,59
35,45,80
40,31,71
41,38,79
38,35,73
39,32,71
24,43,67
36,37,73
38,33,71
37,35,72
41,30,71
30,28,58
36,29,65
43,36,79
34,35,69
31,35,66
33,37,70
30,31,61
41,37,78
31,30,61
33,39,72
38,42,80
41,33,74
43,39,82
36,30,66
44,32,76
37,28,65
33,43,76
28,26,54
31,40,71
35,33,68
41,40,81
34,35,69
39,46,85
37,39,76
31,32,63
34,42,76
38,35,73
39,40,79
28,32,60
31,39,70
28,31,59
37,36,73
39,36,75
36,33,69
47,41,88
46,44,90
36,38,74
43,34,77
40,43,83
34,28,62
40,36,76
35,25,60
34,37,71
42,37,79
38,36,74
39,40,79
41,39,80
38,32,70
37,42,79
37,42,79
39,42,81
36,23,59
42,38,80
34,37,71
44,39,83
34,35,69
48,43,91
39,42,81
40,40,80
31,32,63
33,29,62
30,33,63
36,37,73
33,32,65
39,39,78
33,37,70
29,32,61
43,32,75
28,36,64
29,28,57
30,35,65
38,38,76
32,38,70
38,41,79
38,35,73
39,28,67
34,30,64
30,34,64
35,35,70
42,34,76
41,31,72
31,38,69
37,42,79
21,27,48
33,37,70
38,36,74
36,35,71
43,40,83
37,43,80
29,32,61
37,35,72
31,26,57
43,38,81
37,40,77
33,35,68
40,35,75
42,42,84
35,35,70
38,44,82
32,40,72
28,34,62
40,33,73
32,36,68
33,34,67
29,35,64
38,40,78
38,38,76
35,39,74
34,35,69
32,47,79
27,34,61
37,36,73
28,29,57
33,29,62
26,32,58
29,28,57
35,39,74
44,47,91
43,32,75
48,44,92
40,42,82
28,31,59
24,34,58
32,36,68
34,42,76
42,28,70
42,30,72
34,45,79
30,33,63
37,31,68
33,31,64
31,45,76
24,39,63
28,31,59
31,41,72
34,40,74
37,30,67
37,41,78
33,33,66
42,44,86
39,38,77
34,33,67
25,42,67
33,32,65
32,34,66
37,37,74
31,37,68
36,31,67
46,45,91
37,37,74
31,27,58
29,32,61
34,38,72
29,38,67
36,38,74
39,39,78
33,27,60
37,38,75
34,35,69
34,41,75
39,38,77
30,32,62
37,40,77
34,38,72
35,45,80
38,36,74
35,38,73
37,37,74
28,35,63
40,40,80
36,28,64
29,33,62
33,41,74
38,35,73
38,34,72
46,35,81
41,35,76
42,39,81
30,38,68
34,32,66
30,34,64
26,34,60
40,31,71
39,26,65
38,44,82
39,39,78
43,33,76
39,34,73
31,28,59
35,34,69
36,37,73
35,40,75
26,36,62
35,34,69
41,34,75
39,35,74
31,43,74
36,36,72
38,37,75
36,32,68
44,38,82
32,41,73
32,36,68
43,26,69
35,41,76
37,40,77
34,34,68
41,41,82
40,37,77
39,38,77
52,44,96
38,43,81
39,38,77
40,37,77
39,37,76
34,36,70
37,40,77
45,43,88
31,38,69
27,30,57
30,30,60
35,39,74
33,35,68
38,27,65
39,33,72
36,42,78
33,34,67
32,39,71
37,33,70
36,40,76
45,33,78
43,32,75
41,45,86
29,25,54
40,33,73
35,47,82
35,43,78
39,41,80
36,34,70
28,31,59
26,41,67
41,25,66
41,35,76
37,33,70
38,42,80
25,39,64
31,38,69
30,42,72
41,40,81
34,35,69
36,28,64
38,33,71
31,38,69
40,41,81
32,40,72
35,36,71
38,36,74
42,37,79
39,48,87
10,14,24
32,38,70
31,43,74
34,32,66
41,46,87
32,33,65
29,36,65
33,35,68
29,39,68
40,37,77
41,34,75
40,32,72
37,39,76
36,41,77
25,33,58
24,41,65
42,42,84
39,39,78
37,41,78
31,33,64
30,34,64
38,29,67
39,43,82
41,33,74
39,38,77
40,35,75
44,45,89
37,42,79
36,46,82
44,39,83
38,37,75
40,43,83
29,33,62
38,46,84
31,35,66
40,41,81
39,31,70
35,32,67
40,38,78
36,29,65
31,32,63
46,41,87
41,44,85
33,34,67
41,41,82
38,43,81
37,51,88
44,30,74
33,41,74
40,36,76
33,39,72
51,32,83
32,30,62
40,37,77
30,32,62
37,32,69
41,31,72
39,47,86
35,28,63
37,41,78
37,38,75
39,35,74
41,42,83
40,35,75
37,39,76
38,31,69
26,41,67
33,36,69
32,41,73
45,48,93
31,27,58
35,43,78
28,35,63
34,44,78
36,40,76
34,33,67
38,36,74
31,32,63
37,43,80
37,43,80
41,37,78
32,30,62
49,42,91
36,37,73
37,38,75
32,33,65
43,38,81
35,28,63
32,31,63
25,33,58
27,36,63
28,41,69
37,41,78
35,34,69
40,38,78
39,31,70
35,41,76
32,35,67
43,42,85
35,43,78
40,43,83
31,45,76
34,36,70
29,37,66
36,34,70
35,29,64
25,27,52
25,28,53
31,28,59
37,33,70
