name,team_id,city,country,league
Arsenal,1609,London,England,England
Chelsea,1610,London,England,England
Manchester_United,1611,Manchester,England,England
Liverpool,1612,Liverpool,England,England
Newcastle_United,1613,Newcastle_upon_Tyne,England,England
Southampton,1619,Southampton_Hampshire,England,England
Everton,1623,Liverpool,England,England
Tottenham_Hotspur,1624,London,England,England
Manchester_City,1625,Manchester,England,England
West_Bromwich_Albion,1627,West_Bromwich,England,England
Crystal_Palace,1628,London,England,England
Leicester_City,1631,Leicester,England,England
West_Ham_United,1633,London,England,England
Stoke_City,1639,Stoke-on-Trent,England,England
Watford,1644,Watford,England,England
Burnley,1646,Burnley_Lancashire,England,England
Brighton_&_Hove_Albion,1651,Brighton_East_Sussex,England,England
AFC_Bournemouth,1659,Bournemouth_Dorset,England,England
Huddersfield_Town,1673,Huddersfield_West_Yorkshire,England,England
Swansea_City,10531,Swansea,Wales,England
Olympique_Lyonnais,3766,Lyon,France,France
PSG,3767,Paris,France,France
Nantes,3770,La_Chapelle-sur-Erdre,France,France
Olympique_Marseille,3771,Marseille,France,France
Bordeaux,3772,Le_Haillan,France,France
Rennes,3774,Rennes,France,France
Nice,3775,Nice,France,France
Lille,3776,Villeneuve-d'Ascq,France,France
Metz,3777,Metz,France,France
Strasbourg,3779,Strasbourg,France,France
Toulouse,3780,Toulouse,France,France
Saint-Étienne,3782,Saint-Étienne,France,France
Caen,3783,Caen,France,France
Guingamp,3785,Guingamp,France,France
Montpellier,3787,Montpellier,France,France
Amiens_SC,3789,Amiens,France,France
Troyes,3795,Troyes,France,France
Angers,3799,Angers,France,France
Dijon,3804,Dijon,France,France
Monaco,19830,Monaco,Monaco,France
Werder_Bremen,2443,Bremen,Germany,Germany
Bayern_München,2444,München,Germany,Germany
Stuttgart,2445,Stuttgart,Germany,Germany
Bayer_Leverkusen,2446,Leverkusen,Germany,Germany
Borussia_Dortmund,2447,Dortmund,Germany,Germany
Schalke_04,2449,Gelsenkirchen,Germany,Germany
Hamburger_SV,2450,Hamburg,Germany,Germany
Wolfsburg,2451,Wolfsburg,Germany,Germany
Freiburg,2453,Freiburg_im_Breisgau,Germany,Germany
Borussia_M'gladbach,2454,Mönchengladbach,Germany,Germany
Hannover_96,2455,Hannover,Germany,Germany
Hertha_BSC,2457,Berlin,Germany,Germany
Mainz_05,2460,Mainz,Germany,Germany
Eintracht_Frankfurt,2462,Frankfurt_am_Main,Germany,Germany
Köln,2463,Köln,Germany,Germany
Augsburg,2481,Augsburg,Germany,Germany
Hoffenheim,2482,Sinsheim,Germany,Germany
RB_Leipzig,2975,Leipzig,Germany,Germany
Milan,3157,Milano,Italy,Italy
Roma,3158,Roma,Italy,Italy
Juventus,3159,Torino,Italy,Italy
Internazionale,3161,Milano,Italy,Italy
Lazio,3162,Formello,Italy,Italy
Udinese,3163,Udine,Italy,Italy
Sampdoria,3164,Genova,Italy,Italy
Chievo,3165,Verona,Italy,Italy
Bologna,3166,Bologna,Italy,Italy
Atalanta,3172,Ciserano,Italy,Italy
Cagliari,3173,Cagliari,Italy,Italy
Fiorentina,3176,Firenze,Italy,Italy
Torino,3185,Torino,Italy,Italy
Napoli,3187,Castel_Volturno,Italy,Italy
Genoa,3193,Genova,Italy,Italy
Hellas_Verona,3194,Verona,Italy,Italy
Crotone,3197,Crotone,Italy,Italy
SPAL,3204,Ferrara,Italy,Italy
Benevento,3219,Benevento,Italy,Italy
Sassuolo,3315,Sassuolo,Italy,Italy
Valencia,674,Valencia,Spain,Spain
Real_Madrid,675,Madrid,Spain,Spain
Barcelona,676,Barcelona,Spain,Spain
Deportivo_La_Coruña,677,A_Coruña,Spain,Spain
Athletic_Club,678,Bilbao,Spain,Spain
Atlético_Madrid,679,Madrid,Spain,Spain
Sevilla,680,Sevilla,Spain,Spain
Villarreal,682,Villarreal,Spain,Spain
Málaga,683,Malaga,Spain,Spain
Real_Betis,684,Sevilla,Spain,Spain
Real_Sociedad,687,Donostia-San_Sebastián,Spain,Spain
Espanyol,691,Barcelona,Spain,Spain
Celta_de_Vigo,692,Vigo,Spain,Spain
Levante,695,Valencia,Spain,Spain
Deportivo_Alavés,696,Vitoria-Gasteiz,Spain,Spain
Getafe,698,Getafe_(Madrid),Spain,Spain
Eibar,701,Eibar,Spain,Spain
Leganés,712,Leganés,Spain,Spain
Las_Palmas,714,Las_Palmas_de_Gran_Canaria,Spain,Spain
Girona,756,Girona,Spain,Spain
